year,semester,language,module,course,credits,url
"2","Printemps","Français","Algorithmique, Base de données, Génie Logiciel","Algorithmique et structures de données 3","5.5","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-ALBG-I&courseId=B2C-ALG3-I"
"2","Automne","Français","Maths et Sciences pour Informaticiens","Mathématiques spécifiques 1","3.5","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MSCI-I&courseId=B2C-MAS1-I"
"2","Automne","Allemand","Maths et Sciences pour Informaticiens","Statistiques","1.5","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MSCI-I&courseId=B2C-STAT-I"
"2","Printemps","Français","Maths et Sciences pour Informaticiens","Mathématiques spécifiques 2","3","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MSCI-I&courseId=B2C-MAS2-I"
"2","Printemps","Français","Maths et Sciences pour Informaticiens","Physique SIAM","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MSCI-I&courseId=B2C-PYSM-I"
"2","Printemps","Allemand","Projet et Gestion de projets","Gestion de projets TIC","2","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-GPEE-I&courseId=B2C-GPIT-IT"
"2","Printemps","Français","Projet et Gestion de projets","Projet de semestre (2ème année Info)","2.5","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-GPEE-I&courseId=B2C-ALGP-I"
"2","Automne","Français","Systèmes d'Information et Applications Mobiles","Programmation concurrente 1","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-SIAM-I&courseId=B2C-PRC1-I"
"2","Printemps","Français","Systèmes d'Information et Applications Mobiles","Applications Mobiles 1","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-SIAM-I&courseId=B2C-DMOB-I"
"2","Printemps","Français","Systèmes d'Information et Applications Mobiles","Programmation concurrente 2","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-SIAM-I&courseId=B2C-PRC2-I"
"2","Printemps","Français","Systèmes d'Information et Applications Mobiles","Systèmes d'information - I","2","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-SIAM-I&courseId=B2C-DENG-I"
"2","Automne","Français","Systèmes embarqués et systèmes d'exploitation","Système d'exploitation 1","3","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MPOS-I&courseId=B2C-SYEX-I"
"2","Automne","Allemand","Systèmes embarqués et systèmes d'exploitation","Systèmes Embarqués 1","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MPOS-I&courseId=B2C-SEM1-IT"
"2","Printemps","Français","Systèmes embarqués et systèmes d'exploitation","Systèmes Embarqués 2","4","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B2M-MPOS-I&courseId=B2C-SEM2-I"
"3","Automne","Français","Informatique appliquée","Physique et simulation","3","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B3M-ITAP-I&courseId=B3C-SIPH-I"
"3","Automne","Français","Informatique appliquée","Programmation C/C++","2","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B3M-ITAP-I&courseId=B3C-CPRG-I"
"3","Printemps","Français","Informatique appliquée","Microprocesseurs","2","https://www.heia-fr.ch/fr/formation/bachelor/informatique-et-systemes-de-communication/programme-de-formation//?cursus=bilingue&programId=INFO&optionId=&moduleId=B3M-ITAP-I&courseId=B3C-MPRO-I"
